variable,group,denominator,observed,missing,summary
wtkilo1,RHC,2184,2184,0,"72.4 (SD 27.7); median 74 [IQR 61.1, 86.8]"
dnr1,No RHC,3551,3551,0,No: 3052 (85.9%); Yes: 499 (14.1%)
dnr1,RHC,2184,2184,0,No: 2029 (92.9%); Yes: 155 (7.1%)
ninsclas,No RHC,3551,3551,0,Private: 967 (27.2%); Medicare: 947 (26.7%); Private & Medicare: 746 (21.0%); Medicaid: 454 (12.8%); Medicare & Medicaid: 251 (7.1%); No insurance: 186 (5.2%)
ninsclas,RHC,2184,2184,0,Private: 731 (33.5%); Medicare: 511 (23.4%); Private & Medicare: 490 (22.4%); Medicaid: 193 (8.8%); No insurance: 136 (6.2%); Medicare & Medicaid: 123 (5.6%)
resp,No RHC,3551,3551,0,No: 2070 (58.3%); Yes: 1481 (41.7%)
resp,RHC,2184,2184,0,No: 1552 (71.1%); Yes: 632 (28.9%)
card,No RHC,3551,3551,0,No: 2544 (71.6%); Yes: 1007 (28.4%)
card,RHC,2184,2184,0,No: 1260 (57.7%); Yes: 924 (42.3%)
neuro,No RHC,3551,3551,0,No: 2976 (83.8%); Yes: 575 (16.2%)
neuro,RHC,2184,2184,0,No: 2066 (94.6%); Yes: 118 (5.4%)
gastr,No RHC,3551,3551,0,No: 3029 (85.3%); Yes: 522 (14.7%)
gastr,RHC,2184,2184,0,No: 1764 (80.8%); Yes: 420 (19.2%)
renal,No RHC,3551,3551,0,No: 3404 (95.9%); Yes: 147 (4.1%)
renal,RHC,2184,2184,0,No: 2036 (93.2%); Yes: 148 (6.8%)
meta,No RHC,3551,3551,0,No: 3379 (95.2%); Yes: 172 (4.8%)
meta,RHC,2184,2184,0,No: 2091 (95.7%); Yes: 93 (4.3%)
hema,No RHC,3551,3551,0,No: 3312 (93.3%); Yes: 239 (6.7%)
hema,RHC,2184,2184,0,No: 2069 (94.7%); Yes: 115 (5.3%)
seps,No RHC,3551,3551,0,No: 3036 (85.5%); Yes: 515 (14.5%)
seps,RHC,2184,2184,0,No: 1668 (76.4%); Yes: 516 (23.6%)
trauma,No RHC,3551,3551,0,No: 3533 (99.5%); Yes: 18 (0.5%)
trauma,RHC,2184,2184,0,No: 2150 (98.4%); Yes: 34 (1.6%)
ortho,No RHC,3551,3551,0,No: 3548 (99.9%); Yes: 3 (0.1%)
ortho,RHC,2184,2184,0,No: 2180 (99.8%); Yes: 4 (0.2%)
adld3p,No RHC,3551,1049,2502,"1.24 (SD 1.86); median 0 [IQR 0, 2]"
adld3p,RHC,2184,390,1794,"1.02 (SD 1.69); median 0 [IQR 0, 1]"
urin1,No RHC,3551,1604,1947,"2.2e+03 (SD 1.45e+03); median 1.96e+03 [IQR 1.18e+03, 2.88e+03]"
urin1,RHC,2184,1103,1081,"2.18e+03 (SD 1.64e+03); median 1.85e+03 [IQR 990, 3.1e+03]"
race,No RHC,3551,3551,0,white: 2753 (77.5%); black: 585 (16.5%); other: 213 (6.0%)
race,RHC,2184,2184,0,white: 1707 (78.2%); black: 335 (15.3%); other: 142 (6.5%)
income,No RHC,3551,3551,0,Under $11k: 2081 (58.6%); $11-$25k: 713 (20.1%); $25-$50k: 500 (14.1%); > $50k: 257 (7.2%)
income,RHC,2184,2184,0,Under $11k: 1145 (52.4%); $11-$25k: 452 (20.7%); $25-$50k: 393 (18.0%); > $50k: 194 (8.9%)
