column,role,type,missing_n,legacy_action,timing,outlier_action
pafi1,candidate covariate,float64,0,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
alb1,candidate covariate,float64,0,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
hema1,candidate covariate,float64,0,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
bili1,candidate covariate,float64,0,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
crea1,candidate covariate,float64,0,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
sod1,candidate covariate,int64,0,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
pot1,candidate covariate,float64,0,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
paco21,candidate covariate,float64,0,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
ph1,candidate covariate,float64,0,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
swang1,exposure,str,0,exclude from propensity model,history/demographic candidate; source verification still needed,retain; no unsupported deletion
wtkilo1,candidate covariate,float64,0,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
dnr1,candidate covariate,str,0,one-hot; missing maps to reference,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
ninsclas,candidate covariate,str,0,one-hot; missing maps to reference,history/demographic candidate; source verification still needed,retain; no unsupported deletion
resp,candidate covariate,str,0,one-hot; missing maps to reference,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
card,candidate covariate,str,0,one-hot; missing maps to reference,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
neuro,candidate covariate,str,0,one-hot; missing maps to reference,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
gastr,candidate covariate,str,0,one-hot; missing maps to reference,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
renal,candidate covariate,str,0,one-hot; missing maps to reference,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
meta,candidate covariate,str,0,one-hot; missing maps to reference,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
hema,candidate covariate,str,0,one-hot; missing maps to reference,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
seps,candidate covariate,str,0,one-hot; missing maps to reference,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
trauma,candidate covariate,str,0,one-hot; missing maps to reference,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
ortho,candidate covariate,str,0,one-hot; missing maps to reference,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
adld3p,candidate covariate,float64,4296,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
urin1,candidate covariate,float64,3028,median impute; standardize,pre-exposure not established; day-1 or assessment timing needs adjudication,retain; no unsupported deletion
race,candidate covariate,str,0,one-hot; missing maps to reference,history/demographic candidate; source verification still needed,retain; no unsupported deletion
income,candidate covariate,str,0,one-hot; missing maps to reference,history/demographic candidate; source verification still needed,retain; no unsupported deletion
ptid,outcome / follow-up / identifier,int64,0,exclude from propensity model,history/demographic candidate; source verification still needed,retain; no unsupported deletion
